rule_id,mechanism_family,rule_statement,source_experiment,evidence_tier,causal_wtp_confirmed,causal_agreement_confirmed,causal_negotiated_price_confirmed,pairs,both_arm_agreement_pairs,mean_relative_wtp_effect,agreement_rate_effect,mean_relative_negotiated_price_effect,price_sign_flip_p_value,scope
causal_task_fit_match,grounded_task_fit_confirmation,"IF a buyer has a prespecified task requirement AND grounded evidence confirms that the product property satisfies it, THEN effective willingness to pay increases relative to leaving the property unresolved.",independent_task_fit_confirmation_v3,strict_causal_negotiated_price_rule,True,True,True,60,24,0.05971627381815092,0.2833333333333333,0.017498579175703632,0.037439251214975704,Controlled LLM-agent simulator only
causal_task_fit_mismatch,grounded_task_fit_confirmation,"IF a buyer has a prespecified task requirement AND grounded evidence confirms that the product property does not satisfy it, THEN effective willingness to pay decreases relative to leaving the property unresolved.",independent_task_fit_confirmation_v3,causal_wtp_rule,True,False,False,60,17,-0.019604883531775696,0.04999999999999999,-0.009817913350386398,0.10743785124297514,Controlled LLM-agent simulator only
causal_identifier_match,grounded_task_fit_confirmation,"IF grounded evidence confirms that identifier content meets the buyer's prespecified linkage requirement, THEN effective willingness to pay increases.",supplementary_rule_confirmation_v1,causal_wtp_rule,True,False,False,40,17,0.05971627381815092,0.15000000000000002,0.006753899580619338,0.5983880322393552,Controlled LLM-agent simulator only
causal_customization_mismatch,grounded_task_fit_confirmation,"IF grounded evidence confirms a customization limitation that conflicts with the buyer's prespecified requirement, THEN effective willingness to pay decreases.",supplementary_rule_confirmation_v1,causal_wtp_rule,True,False,False,40,22,-0.0193764870555746,-0.125,-0.007505470905537215,0.43071138577228457,Controlled LLM-agent simulator only
causal_coverage_match_price_premium,grounded_task_fit_confirmation,"IF grounded evidence confirms that product coverage meets the buyer's prespecified task requirement, THEN effective willingness to pay and agreement probability increase, and the negotiated price among pairs agreeing under both arms rises relative to leaving coverage unresolved.",independent_extension_confirmation_v1,strict_causal_negotiated_price_rule,True,True,True,80,44,0.0357390066558842,0.2249999999999999,0.0240397166325376,0.0004099959000409,Controlled LLM-agent simulator only
causal_update_cadence_match_price_premium,grounded_task_fit_confirmation,"IF grounded evidence confirms that the product's update cadence meets the buyer's prespecified refresh requirement, THEN effective willingness to pay and agreement probability increase, and the negotiated price among pairs agreeing under both arms rises relative to leaving update cadence unresolved.",independent_extension_confirmation_v1,strict_causal_negotiated_price_rule,True,True,True,80,36,0.055835561728206,0.25,0.0187083632536955,0.0048399516004839,Controlled LLM-agent simulator only
verified_content_specification,verification_cost,IF the buyer's intended task requires content specification and a field-level content dictionary and representative sample records are available for verification before purchase. THEN effective WTP increases relative to leaving that condition unresolved.,independent_mechanism_confirmation_v1,causal_pricing_rule_wtp_level_price_not_confirmed,True,False,False,39,18,0.09652186105522395,0.17948717948717952,0.021478708290544372,0.02001953125,Controlled LLM-agent simulator only
verified_field_semantics,verification_cost,"IF the buyer's intended task requires field semantics and field meanings, units, and coding conventions are documented and available for verification before purchase. THEN effective WTP increases relative to leaving that condition unresolved.",independent_mechanism_confirmation_v1,causal_pricing_rule_wtp_level_price_not_confirmed,True,False,False,39,18,0.09342048593657175,0.05128205128205132,0.020773867356790536,0.134033203125,Controlled LLM-agent simulator only
stable_machine_readable_schema,integration_cost,IF the buyer's intended task requires integration schema and a stable machine-readable schema with version information is included for integration. THEN effective WTP increases relative to leaving that condition unresolved.,independent_mechanism_confirmation_v1,causal_pricing_rule_wtp_level_price_not_confirmed,True,False,False,39,30,0.07669669592394486,0.05128205128205121,0.015297874916332766,0.011499885001149988,Controlled LLM-agent simulator only
seller_integration_support,integration_cost,IF the buyer's intended task requires integration support and seller support for field mapping and initial integration questions is included in the transaction. THEN effective WTP increases relative to leaving that condition unresolved.,independent_mechanism_confirmation_v1,causal_pricing_rule_wtp_level_price_not_confirmed,True,False,False,39,21,0.08559294286462575,0.20512820512820518,0.020185628998690714,0.01692983070169298,Controlled LLM-agent simulator only
verified_usage_rights,governance_risk,IF the buyer's intended task requires usage rights and the transaction documentation explicitly permits the buyer's stated analytical and internal operational use. THEN effective WTP increases relative to leaving that condition unresolved.,independent_mechanism_confirmation_v1,causal_pricing_rule_wtp_level_price_not_confirmed,True,False,False,39,13,0.11288456694903595,0.3333333333333333,0.010856211167608274,0.2109375,Controlled LLM-agent simulator only
verified_privacy_compliance,governance_risk,"IF the buyer's intended task requires privacy compliance and documented lawful sourcing, privacy handling, and responsibility boundaries are supplied for the transaction. THEN effective WTP increases relative to leaving that condition unresolved.",independent_mechanism_confirmation_v1,strict_causal_negotiated_price_rule,True,False,True,39,21,0.1076323700321106,0.20512820512820507,0.035269496905093525,0.0011399886001139988,Controlled LLM-agent simulator only
